"filename", "language", "TypeScript", "Vue", "JavaScript", "JSON", "comment", "blank", "total"
"d:\qianduan\musicProject\ACGMusic\music\components.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1
"d:\qianduan\musicProject\ACGMusic\music\package-lock.json", "JSON", 0, 0, 0, 138, 0, 0, 138
"d:\qianduan\musicProject\ACGMusic\music\package.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\Playlist.vue", "Vue", 0, 2, 0, 0, 0, 0, 2
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\RecommendedDaily\RecommendedDaily.vue", "Vue", 0, 8, 0, 0, 0, -1, 7
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\TopNav.vue", "Vue", 0, -2, 0, 0, 2, 0, 0
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\iconList.vue", "Vue", 0, 9, 0, 0, 0, 0, 9
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\morePlayList\morePlayList.vue", "Vue", 0, 579, 0, 0, 40, 32, 651
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\perFm\perFm.vue", "Vue", 0, 2, 0, 0, 0, 0, 2
"d:\qianduan\musicProject\ACGMusic\music\src\components\item\itemMusicTop.vue", "Vue", 0, 3, 0, 0, 2, 0, 5
"d:\qianduan\musicProject\ACGMusic\music\src\request\api\comment.js", "JavaScript", 0, 0, 12, 0, 2, 1, 15
"d:\qianduan\musicProject\ACGMusic\music\src\request\api\morePlayList.js", "JavaScript", 0, 0, 32, 0, 8, 6, 46
"d:\qianduan\musicProject\ACGMusic\music\src\router\index.js", "JavaScript", 0, 0, 5, 0, 0, 1, 6
"d:\qianduan\musicProject\ACGMusic\music\src\views\Comment\comment.vue", "Vue", 0, 90, 0, 0, 3, -2, 91
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\album.vue", "Vue", 0, 9, 0, 0, 2, 0, 11
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\albumDetail.vue", "Vue", 0, 4, 0, 0, 0, 0, 4
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\userDetail.vue", "Vue", 0, 9, 0, 0, 6, 1, 16
"Total", "-", 1, 713, 49, 139, 65, 38, 1005
