"filename", "language", "JavaScript", "TypeScript", "Vue", "Markdown", "CSS", "HTML", "JSON", "XML", "JSON with Comments", "comment", "blank", "total"
"d:\qianduan\musicProject\ACGMusic\music\.eslintrc.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 25
"d:\qianduan\musicProject\ACGMusic\music\README.md", "Markdown", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"d:\qianduan\musicProject\ACGMusic\music\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\qianduan\musicProject\ACGMusic\music\components.d.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 3, 3, 36
"d:\qianduan\musicProject\ACGMusic\music\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 9, 11, 0, 20
"d:\qianduan\musicProject\ACGMusic\music\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 21626, 0, 0, 0, 1, 21627
"d:\qianduan\musicProject\ACGMusic\music\package.json", "JSON", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 1, 42
"d:\qianduan\musicProject\ACGMusic\music\public\index.html", "HTML", 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 4, 24
"d:\qianduan\musicProject\ACGMusic\music\public\js\rem.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 21
"d:\qianduan\musicProject\ACGMusic\music\src\App.vue", "Vue", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 3, 29
"d:\qianduan\musicProject\ACGMusic\music\src\assets\fonts\iconfont.css", "CSS", 0, 0, 0, 0, 268, 0, 0, 0, 0, 4, 85, 357
"d:\qianduan\musicProject\ACGMusic\music\src\assets\fonts\iconfont.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 102, 0, 3, 171, 276
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\Playlist.vue", "Vue", 0, 0, 108, 0, 0, 0, 0, 0, 0, 48, 13, 169
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\RecommendedDaily\RecommendedDaily.vue", "Vue", 0, 0, 280, 0, 0, 0, 0, 0, 0, 19, 19, 318
