"filename", "language", "JavaScript", "Vue", "JSON", "comment", "blank", "total"
"d:\qianduan\musicProject\ACGMusic\music\package-lock.json", "JSON", 0, 0, 436, 0, 0, 436
"d:\qianduan\musicProject\ACGMusic\music\package.json", "JSON", 0, 0, 2, 0, 0, 2
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\RecommendedDaily\RecommendedDaily.vue", "Vue", 0, 2, 0, 0, -1, 1
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\SwpierTop.vue", "Vue", 0, 1, 0, 0, 0, 1
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\TopNav.vue", "Vue", 0, 4, 0, 0, 0, 4
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\iconList.vue", "Vue", 0, 36, 0, 4, 3, 43
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\morePlayList\morePlayList.vue", "Vue", 0, 5, 0, 3, -2, 6
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\perFm\perFm.vue", "Vue", 0, 688, 0, 132, 42, 862
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\personalList.vue", "Vue", 0, -1, 0, 1, 0, 0
"d:\qianduan\musicProject\ACGMusic\music\src\components\item\FooterMusic.vue", "Vue", 0, 59, 0, 34, 2, 95
"d:\qianduan\musicProject\ACGMusic\music\src\components\item\MusicDetail.vue", "Vue", 0, 136, 0, -26, 9, 119
"d:\qianduan\musicProject\ACGMusic\music\src\components\item\itemMusicList.vue", "Vue", 0, 1, 0, 0, 0, 1
"d:\qianduan\musicProject\ACGMusic\music\src\main.js", "JavaScript", 3, 0, 0, 1, -1, 3
"d:\qianduan\musicProject\ACGMusic\music\src\request\api\home.js", "JavaScript", 12, 0, 0, 2, 1, 15
"d:\qianduan\musicProject\ACGMusic\music\src\request\api\userDetail.js", "JavaScript", 6, 0, 0, 1, 1, 8
"d:\qianduan\musicProject\ACGMusic\music\src\request\api\video.js", "JavaScript", 49, 0, 0, 12, 6, 67
"d:\qianduan\musicProject\ACGMusic\music\src\router\index.js", "JavaScript", 17, 0, 0, -7, 2, 12
"d:\qianduan\musicProject\ACGMusic\music\src\store\index.js", "JavaScript", 17, 0, 0, 3, 3, 23
"d:\qianduan\musicProject\ACGMusic\music\src\views\Comment\bottom.vue", "Vue", 0, 1, 0, 0, 0, 1
"d:\qianduan\musicProject\ACGMusic\music\src\views\HomeView.vue", "Vue", 0, 5, 0, 2, 1, 8
"d:\qianduan\musicProject\ACGMusic\music\src\views\login\loginByQrCode.vue", "Vue", 0, 27, 0, 2, 1, 30
"d:\qianduan\musicProject\ACGMusic\music\src\views\singer\singer.vue", "Vue", 0, 13, 0, 0, 0, 13
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\albumDetail.vue", "Vue", 0, 1, 0, 0, 0, 1
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\songs.vue", "Vue", 0, 1, 0, 0, 1, 2
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\userDetail.vue", "Vue", 0, 179, 0, 10, 2, 191
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\video.vue", "Vue", 0, 184, 0, 12, 11, 207
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\videoDetail.vue", "Vue", 0, 243, 0, 40, 13, 296
"d:\qianduan\musicProject\ACGMusic\music\vue.config.js", "JavaScript", 0, 0, 0, 0, -1, -1
"Total", "-", 104, 1585, 438, 226, 93, 2446
