"filename", "language", "TypeScript", "JavaScript", "JSON with Comments", "Markdown", "Vue", "CSS", "HTML", "JSON", "XML", "comment", "blank", "total"
"d:\qianduan\musicProject\ACGMusic\music\.eslintrc.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 2, 25
"d:\qianduan\musicProject\ACGMusic\music\README.md", "Markdown", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"d:\qianduan\musicProject\ACGMusic\music\babel.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\qianduan\musicProject\ACGMusic\music\components.d.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 36
"d:\qianduan\musicProject\ACGMusic\music\jsconfig.json", "JSON with Comments", 0, 0, 9, 0, 0, 0, 0, 0, 0, 11, 0, 20
"d:\qianduan\musicProject\ACGMusic\music\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 22062, 0, 0, 1, 22063
"d:\qianduan\musicProject\ACGMusic\music\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 1, 44
"d:\qianduan\musicProject\ACGMusic\music\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 19, 0, 0, 1, 4, 24
"d:\qianduan\musicProject\ACGMusic\music\public\js\rem.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 1, 21
"d:\qianduan\musicProject\ACGMusic\music\src\App.vue", "Vue", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 3, 29
"d:\qianduan\musicProject\ACGMusic\music\src\assets\fonts\iconfont.css", "CSS", 0, 0, 0, 0, 0, 268, 0, 0, 0, 4, 85, 357
"d:\qianduan\musicProject\ACGMusic\music\src\assets\fonts\iconfont.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 102, 3, 171, 276
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\Playlist.vue", "Vue", 0, 0, 0, 0, 108, 0, 0, 0, 0, 48, 13, 169
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\RecommendedDaily\RecommendedDaily.vue", "Vue", 0, 0, 0, 0, 282, 0, 0, 0, 0, 19, 18, 319
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\SwpierTop.vue", "Vue", 0, 0, 0, 0, 48, 0, 0, 0, 0, 2, 4, 54
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\TopNav.vue", "Vue", 0, 0, 0, 0, 336, 0, 0, 0, 0, 22, 22, 380
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\iconList.vue", "Vue", 0, 0, 0, 0, 116, 0, 0, 0, 0, 13, 9, 138
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\morePlayList\morePlayList.vue", "Vue", 0, 0, 0, 0, 584, 0, 0, 0, 0, 43, 30, 657
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\perFm\perFm.vue", "Vue", 0, 0, 0, 0, 711, 0, 0, 0, 0, 132, 48, 891
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\personalList.vue", "Vue", 0, 0, 0, 0, 116, 0, 0, 0, 0, 10, 12, 138
"d:\qianduan\musicProject\ACGMusic\music\src\components\item\FooterMusic.vue", "Vue", 0, 0, 0, 0, 264, 0, 0, 0, 0, 90, 31, 385
"d:\qianduan\musicProject\ACGMusic\music\src\components\item\MusicDetail.vue", "Vue", 0, 0, 0, 0, 733, 0, 0, 0, 0, 87, 41, 861
"d:\qianduan\musicProject\ACGMusic\music\src\components\item\itemMusicList.vue", "Vue", 0, 0, 0, 0, 270, 0, 0, 0, 0, 39, 16, 325
"d:\qianduan\musicProject\ACGMusic\music\src\components\item\itemMusicTop.vue", "Vue", 0, 0, 0, 0, 265, 0, 0, 0, 0, 22, 14, 301
"d:\qianduan\musicProject\ACGMusic\music\src\main.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 4, 21
