"filename", "language", "JSON", "Vue", "JavaScript", "HTML", "TypeScript", "comment", "blank", "total"
"d:\qianduan\musicProject\ACGMusic\music\components.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 1
"d:\qianduan\musicProject\ACGMusic\music\package-lock.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 20
"d:\qianduan\musicProject\ACGMusic\music\package.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"d:\qianduan\musicProject\ACGMusic\music\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"d:\qianduan\musicProject\ACGMusic\music\src\App.vue", "Vue", 0, 2, 0, 0, 0, 1, 0, 3
"d:\qianduan\musicProject\ACGMusic\music\src\assets\province.json", "JSON", 1552, 0, 0, 0, 0, 0, 0, 1552
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\TopNav.vue", "Vue", 0, 2, 0, 0, 0, 1, 0, 3
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\morePlayList\morePlayList.vue", "Vue", 0, -1, 0, 0, 0, 1, 0, 0
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\perFm\perFm.vue", "Vue", 0, -2, 0, 0, 0, 2, 0, 0
"d:\qianduan\musicProject\ACGMusic\music\src\components\item\FooterMusic.vue", "Vue", 0, 10, 0, 0, 0, -14, -1, -5
"d:\qianduan\musicProject\ACGMusic\music\src\components\item\MusicDetail.vue", "Vue", 0, 2, 0, 0, 0, 2, 0, 4
"d:\qianduan\musicProject\ACGMusic\music\src\main.js", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 2
"d:\qianduan\musicProject\ACGMusic\music\src\request\api\item.js", "JavaScript", 0, 0, 6, 0, 0, 1, 0, 7
"d:\qianduan\musicProject\ACGMusic\music\src\request\api\userDetail.js", "JavaScript", 0, 0, 6, 0, 0, 1, 1, 8
"d:\qianduan\musicProject\ACGMusic\music\src\request\api\video.js", "JavaScript", 0, 0, 48, 0, 0, 22, 7, 77
"d:\qianduan\musicProject\ACGMusic\music\src\router\index.js", "JavaScript", 0, 0, 10, 0, 0, 0, 2, 12
"d:\qianduan\musicProject\ACGMusic\music\src\store\index.js", "JavaScript", 0, 0, 11, 0, 0, 1, -1, 11
"d:\qianduan\musicProject\ACGMusic\music\src\views\Comment\bottom.vue", "Vue", 0, 38, 0, 0, 0, 7, 0, 45
"d:\qianduan\musicProject\ACGMusic\music\src\views\Comment\comment.vue", "Vue", 0, 7, 0, 0, 0, 5, 1, 13
"d:\qianduan\musicProject\ACGMusic\music\src\views\Search.vue", "Vue", 0, 2, 0, 0, 0, 0, 1, 3
"d:\qianduan\musicProject\ACGMusic\music\src\views\concernList\concernList.vue", "Vue", 0, 13, 0, 0, 0, 2, 1, 16
"d:\qianduan\musicProject\ACGMusic\music\src\views\generalUserDetail\generalUserDetail.vue", "Vue", 0, 865, 0, 0, 0, 62, 41, 968
"d:\qianduan\musicProject\ACGMusic\music\src\views\generalUserDetail\userAllListenSongs.vue", "Vue", 0, 349, 0, 0, 0, 28, 18, 395
"d:\qianduan\musicProject\ACGMusic\music\src\views\infoUser.vue", "Vue", 0, -2, 0, 0, 0, 0, 0, -2
"d:\qianduan\musicProject\ACGMusic\music\src\views\list\list.vue", "Vue", 0, -2, 0, 0, 0, 2, 0, 0
"d:\qianduan\musicProject\ACGMusic\music\src\views\login\loginByQrCode.vue", "Vue", 0, -3, 0, 0, 0, 3, 0, 0
"d:\qianduan\musicProject\ACGMusic\music\src\views\singer\singer.vue", "Vue", 0, -9, 0, 0, 0, 9, 0, 0
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\album.vue", "Vue", 0, -2, 0, 0, 0, 2, 0, 0
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\albumDetail.vue", "Vue", 0, -1, 0, 0, 0, 1, 0, 0
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\songs.vue", "Vue", 0, 8, 0, 0, 0, 15, -2, 21
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\userDetail.vue", "Vue", 0, 9, 0, 0, 0, 10, 0, 19
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\video.vue", "Vue", 0, 20, 0, 0, 0, 9, 3, 32
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\videoDetail.vue", "Vue", 0, 539, 0, 0, 0, 88, 28, 655
"Total", "-", 1573, 1844, 81, 0, 1, 263, 100, 3862
