"filename", "language", "JavaScript", "Vue", "CSS", "Markdown", "XML", "JSON", "HTML", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"d:\qianduan\musicProject\ACGMusic\music\.eslintrc.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 25
"d:\qianduan\musicProject\ACGMusic\music\README.md", "Markdown", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"d:\qianduan\musicProject\ACGMusic\music\babel.config.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 24
"d:\qianduan\musicProject\ACGMusic\music\components.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 31, 3, 3, 37
"d:\qianduan\musicProject\ACGMusic\music\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 9, 0, 11, 0, 20
"d:\qianduan\musicProject\ACGMusic\music\package-lock.json", "JSON", 0, 0, 0, 0, 0, 22057, 0, 0, 0, 0, 1, 22058
"d:\qianduan\musicProject\ACGMusic\music\package.json", "JSON", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 1, 47
"d:\qianduan\musicProject\ACGMusic\music\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 22, 0, 0, 2, 6, 30
"d:\qianduan\musicProject\ACGMusic\music\public\js\rem.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 21
"d:\qianduan\musicProject\ACGMusic\music\src\App.vue", "Vue", 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 3, 32
"d:\qianduan\musicProject\ACGMusic\music\src\assets\fonts\iconfont.css", "CSS", 0, 0, 268, 0, 0, 0, 0, 0, 0, 4, 85, 357
"d:\qianduan\musicProject\ACGMusic\music\src\assets\fonts\iconfont.svg", "XML", 0, 0, 0, 0, 102, 0, 0, 0, 0, 3, 171, 276
"d:\qianduan\musicProject\ACGMusic\music\src\assets\province.json", "JSON", 0, 0, 0, 0, 0, 1552, 0, 0, 0, 0, 0, 1552
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\Playlist.vue", "Vue", 0, 107, 0, 0, 0, 0, 0, 0, 0, 48, 13, 168
